,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
130,대전광역시 중구,2353756.0,71201.71428571429,7342914.0,6290557.0,1671840.0,174830.61904761905,16597787.714285713,106960.95238095237,2775.0,34685469.0
131,부산광역시 강서구,11655398.0,1272365.714285714,3285410.0,2521439.0,1668727.0,56264.61904761905,11863207.714285713,945192.9523809524,20684.0,33361187.0
132,부산광역시 금정구,3173546.0,1887447.0,2003971.0,3504160.0,597591.0,2493047.0,11764202.0,26875.0,151363.0,25353884.0
133,부산광역시 기장군,585672.0,1876935.714285714,4105946.0,7221941.0,2923586.0,2423322.6190476194,15465993.714285713,1896835.9523809524,146877.0,36719242.0
134,부산광역시 남구,286893.0,236166.71428571426,6103080.0,5037915.0,1679644.0,247832.61904761905,9601631.714285713,2168075.9523809524,0.0,25433739.0
135,부산광역시 동구,6304815.0,27750.71428571429,991926.0,6029908.0,4709764.0,171023.61904761905,7066817.714285715,1551276.9523809524,0.0,26925244.0
136,부산광역시 동래구,229710.0,420930.0,3656646.0,7911263.0,2718185.0,532770.0,13126979.0,906.0,1835869.0,30185290.0
137,부산광역시 부산진구,1227559.0,249607.71428571426,7696159.0,25976235.0,7341284.0,1361736.619047619,17790308.714285716,0.0,26538.0,61717396.0
138,부산광역시 북구,2406314.0,622947.7142857143,1788819.0,4761736.0,1671789.0,123672.61904761905,8687878.714285713,467076.9523809524,1030.0,20603764.0
139,부산광역시 사상구,3487819.0,209328.71428571426,2206633.0,7166580.0,2056950.0,144551.61904761905,8648938.714285713,0.0,18471.0,23987751.0
140,부산광역시 사하구,1464811.0,325624.0,1377158.0,4068080.0,934413.0,96214.0,8326957.0,4038319.0,1019.0,20384228.0
141,부산광역시 서구,2477799.0,104523.71428571429,1775958.0,1512813.0,2626926.0,252453.61904761905,4493472.714285715,4779031.9523809515,2534.0,18098011.0
142,부산광역시 수영구,28790.0,191735.71428571426,1227380.0,7605849.0,3004085.0,119649.61904761905,15890547.714285713,4945104.9523809515,6618.0,33091931.0
143,부산광역시 연제구,23616.0,50621.71428571429,338663.0,10129688.0,2153953.0,470577.61904761905,11132265.714285713,0.0,2678.0,24346700.0
144,부산광역시 영도구,253846.0,146957.71428571426,2431912.0,852555.0,1719139.0,2965544.6190476194,8102360.714285715,0.0,182869.0,16700401.0
145,부산광역시 중구,250773.0,0.0,2745995.0,19200335.0,5514972.0,89488.61904761905,5953556.714285715,0.0,0.0,33796862.0
146,부산광역시 해운대구,1528447.0,787902.7142857143,7308538.0,12861000.0,12847891.0,190806.61904761905,18167503.714285716,5510541.9523809515,313436.0,59588566.0
147,강원도 강릉시,1200411.0,552296.7142857143,2443694.0,3653703.0,6121711.0,837027.6190476189,12608554.714285713,4340186.9523809515,164449.0,31993893.0
148,강원도 고성군,330270.0,607595.7142857143,853100.0,85791.0,4121695.0,472614.61904761905,3022035.7142857146,2111986.9523809524,42544.0,11720014.0
149,강원도 동해시,783774.0,152132.71428571426,966719.0,959092.0,2343695.0,106550.61904761905,2563291.7142857146,2794547.9523809524,430.0,10742519.0
150,강원도 삼척시,705552.0,169816.71428571426,487683.0,351830.0,4161496.0,74252.61904761905,2491408.7142857146,1987252.9523809524,13249.0,10514935.0
151,강원도 속초시,1264312.0,203638.71428571426,926549.0,3359246.0,5438267.0,99422.61904761905,8495740.714285713,2378629.9523809524,174372.0,22412903.0
152,강원도 양구군,309283.0,35972.71428571429,601742.0,67298.0,485991.0,29327.619047619046,631449.7142857143,320042.9523809524,3298.0,2556904.0
153,강원도 양양군,435622.0,1057200.714285714,438783.0,331307.0,4366754.0,1356548.619047619,3548855.7142857146,3275820.9523809524,169041.0,15052583.0
154,강원도 영월군,379710.0,90661.71428571429,887214.0,410182.0,1782512.0,1310733.619047619,1010398.7142857143,265465.9523809524,9328.0,6218643.0
155,강원도 원주시,3085311.0,2855647.7142857146,2589094.0,2889086.0,3494725.0,545072.6190476189,12347389.714285713,346451.9523809524,48915.0,28274475.0
156,강원도 인제군,930360.0,404205.0,766902.0,45576.0,1527079.0,918821.0,2157586.0,1691686.0,55621.0,8301599.0
157,강원도 정선군,622027.0,226598.71428571426,2320201.0,513149.0,2946497.0,76354.61904761905,832278.7142857143,440592.9523809524,2980.0,8053178.0
158,강원도 철원군,1347667.0,368179.0,921886.0,153051.0,637457.0,544501.0,1689699.0,914987.0,12019.0,6393109.0
159,강원도 춘천시,1364865.0,4493585.0,3125821.0,1999888.0,3036222.0,259809.0,13893084.0,1167109.0,98008.0,28996486.0
160,강원도 태백시,805258.0,336265.7142857143,623943.0,415234.0,803549.0,100997.61904761905,1171624.714285714,418142.9523809524,190.0,4747705.0
161,강원도 평창군,1386575.0,1136517.714285714,1967782.0,277041.0,5531214.0,840622.6190476189,3435741.7142857146,343444.9523809524,247325.0,15238764.0
162,강원도 홍천군,457635.0,3281787.7142857146,2038967.0,49998.0,6398608.0,86855.61904761905,2931022.7142857146,278772.9523809524,28124.0,15624271.0
163,강원도 화천군,637805.0,203030.0,1350995.0,33242.0,858254.0,68165.0,486122.0,193521.0,11372.0,3803476.0
164,강원도 횡성군,704083.0,2934795.7142857146,480544.0,222269.0,2903347.0,26437.619047619046,3664151.7142857146,484545.9523809524,47662.0,11540451.0
165,세종특별자치시 세종특별자치시,2281866.0,982988.7142857143,3820257.0,3856378.0,1193061.0,239264.61904761905,14452262.714285713,440027.9523809524,24627.0,27363780.0
166,울산광역시 남구,2270790.0,251932.7142857143,5401469.0,10299970.0,4160256.0,254323.61904761905,15019887.714285713,399464.9523809524,2288.0,38132501.0
167,울산광역시 동구,715762.0,0.0,2174375.0,1121282.0,1356444.0,46639.61904761905,4306199.714285715,1893728.9523809524,1751.0,11676375.0
168,울산광역시 북구,1447525.0,483389.7142857143,898379.0,5386159.0,1133874.0,167461.61904761905,10855673.714285713,97429.95238095237,25092.0,20567279.0
169,울산광역시 울주군,6921374.0,1880901.714285714,1959645.0,1207939.0,2293901.0,876744.6190476189,10917946.714285713,3196512.9523809524,278892.0,29606358.0
170,울산광역시 중구,22859.0,72274.71428571429,6024958.0,2623879.0,1720624.0,698956.6190476189,10965934.714285713,0.0,14647.0,22193009.0
171,인천광역시 강화군,923970.0,767257.7142857143,739477.0,1383921.0,2217075.0,1486043.619047619,4996433.714285715,2210992.9523809524,263109.0,15060631.0
172,인천광역시 계양구,165319.0,354988.7142857143,3563304.0,5981374.0,1083270.0,100392.61904761905,12698828.714285713,425722.9523809524,46044.0,24491746.0
173,인천광역시 남동구,465.0,715222.7142857143,6052279.0,12601699.0,3257953.0,231153.61904761905,23108468.714285716,379217.9523809524,129871.0,46548830.0
174,인천광역시 동구,715.0,99470.71428571429,700363.0,6283054.0,151125.0,2538.6190476190477,1413812.714285714,218562.95238095237,358.0,8942322.0
175,인천광역시 미추홀구,3972103.0,85497.71428571429,4779935.0,14217701.0,1796691.0,690027.6190476189,13170527.714285713,0.0,2326.0,38763567.0
176,인천광역시 부평구,11068.0,252165.7142857143,3957824.0,15681871.0,2186020.0,207273.61904761905,20223487.714285716,0.0,5960.0,42570977.0
177,인천광역시 서구,373029.0,3571571.7142857146,5890128.0,9025123.0,1617827.0,117702.61904761905,24782772.714285716,83059.95238095237,13209.0,45546922.0
178,인천광역시 연수구,277289.0,1473236.714285714,5370845.0,12445888.0,3853489.0,146894.61904761905,16006133.714285713,11256.952380952382,11901.0,39669433.0
179,인천광역시 옹진군,508611.0,495985.7142857143,48532.0,45778.0,1562892.0,13585.619047619046,1435303.714285714,1498672.9523809524,54785.0,5736647.0
180,인천광역시 중구,24098107.0,1720168.714285714,1566795.0,2768880.0,5021817.0,47606.61904761905,10986240.714285713,2182038.9523809524,163390.0,48628030.0
181,전라남도 강진군,680219.0,553322.0,598801.0,123364.0,458022.0,876219.0,1011697.0,908876.0,33516.0,5047634.0
182,전라남도 고흥군,980317.0,110514.0,803873.0,141399.0,802528.0,78773.0,898303.0,2465766.0,30946.0,6115894.0
